#{"t_start": 1776070049.9258964, "env_id": "highway-v0"}
r,l,t
4.593458,6,3.608346
19.129997,23,10.943645
24.807589,29,20.134453
13.386894,15,24.87274
17.752129,24,32.462278
1.196243,2,33.100328
3.957201,5,34.684094
4.772727,8,37.213476
4.921672,6,39.142817
17.678739,24,46.70203
16.531185,24,54.398186
6.557215,8,56.947462
1.960209,3,57.906563
3.046577,5,59.514146
9.243682,12,63.314615
9.890894,13,67.423431
2.045455,4,68.703285
13.265926,19,74.690766
5.013409,7,76.899423
7.157915,9,79.721797
5.454545,9,82.552365
10.622695,15,87.367179
7.653368,10,90.524276
10.385416,15,95.237305
6.364269,9,98.119827
9.606557,13,102.23271
8.170527,10,105.348795
11.755744,15,110.081024
10.887474,15,114.79047
5.000783,7,117.006376
19.599893,24,124.624685
6.689744,10,127.772049
6.756487,8,130.318397
6.754637,8,132.836481
3.851154,6,134.744807
9.371373,13,138.819651
12.929067,19,144.772338
13.295577,19,150.721098
7.561286,9,153.57433
2.566054,4,154.856958
10.801923,13,158.948192
10.181712,15,163.686125
10.352318,14,168.143815
4.394374,6,170.03665
5.737622,9,172.862403
21.67928,30,182.310647
6.195346,8,184.857722
19.846911,29,193.896467
24.091611,30,203.39058
20.715364,30,212.803778
22.796869,30,222.258234
7.482766,9,225.06893
22.623122,30,234.547959
20.98098,30,243.996065
22.44576,30,253.47979
8.287658,12,257.295263
4.295591,7,259.531983
9.195459,11,263.03835
3.526191,6,264.948543
5.561485,7,267.172657
21.203319,30,276.638047
7.567092,9,279.470167
9.034446,14,283.878871
5.074685,6,285.770612
3.364988,5,287.36699
2.955271,4,288.634891
2.455078,4,289.927175
7.171655,11,293.417602
5.653392,9,296.262936
9.94511,14,300.680552
9.243861,12,304.493851
10.9498,12,308.227149
3.848113,6,310.099997
19.405862,29,319.225605
4.955589,6,321.126512
21.239047,30,330.467911
8.372872,11,333.961115
15.125281,20,340.309182
4.802319,7,342.52054
14.91224,16,347.559112
20.53988,30,356.956404
7.168317,9,359.804101
3.092137,5,361.373885
10.593526,12,365.115685
5.596739,8,367.668389
6.24477,9,370.541873
15.077,18,376.252203
6.967204,9,379.138881
6.353937,8,381.702441
5.957167,7,383.919076
14.595211,21,390.549629
22.970232,30,399.945804
10.32673,14,404.328139
1.600054,3,405.28529
16.449151,19,411.370534
2.957371,4,412.661294
3.494455,6,414.567275
20.824033,30,424.08367
6.85996,9,426.898019
6.959012,8,429.391991
9.161746,11,432.880613
20.251407,24,440.428775
1.597429,3,441.400248
12.540721,17,446.741611
5.799696,8,449.280472
1.600054,3,450.251915
15.531683,19,456.21748
22.906596,30,465.574987
7.758304,9,468.4133
19.320776,28,477.24803
6.974151,10,480.432752
2.757267,4,481.713303
12.42833,18,487.414307
8.171566,11,490.871222
22.87175,30,500.450401
2.955789,4,501.744895
3.395372,5,503.352004
17.000138,25,511.259354
3.847986,6,513.173605
12.743419,14,517.557623
4.75931,6,519.467613
3.052236,5,521.060147
1.958373,3,522.01599
9.974402,14,526.417721
6.591044,10,529.558182
12.213518,16,534.586235
1.71751,3,535.551516
3.197865,5,537.136896
13.462872,19,543.158966
20.903561,30,552.667041
7.000268,10,555.832267
1.960209,3,556.801666
3.083009,5,558.395231
8.799324,11,561.895954
16.189452,19,567.918583
7.120061,9,570.742671
1.764923,3,571.721444
24.789964,30,581.202363
5.557412,7,583.425108
7.813112,12,587.239383
0.985098,2,587.888954
7.927379,11,591.340348
1.726959,3,592.314251
3.856617,5,593.894318
14.942168,21,600.522576
13.010611,17,605.914471
8.246923,11,609.404897
6.123406,7,611.64761
9.353288,11,615.100719
1.597429,3,616.062189
18.573224,24,623.695069
2.284091,4,624.974526
12.257041,17,630.404403
4.500369,7,632.635076
9.439014,12,636.443694
20.855832,30,645.891026
0.966017,2,646.563662
8.977237,13,651.85956
6.989025,11,655.377853
9.138704,13,659.433596
5.3925,7,661.673657
4.959018,6,663.569453
12.939506,18,669.144492
15.037616,21,675.804388
5.593044,7,678.029092
7.950528,9,680.874777
20.996777,30,690.348845
21.520657,30,699.863061
4.568182,7,702.080948
4.412814,7,704.313154
12.343199,18,710.00457
13.619894,17,715.342846
5.358545,7,717.546685
7.001403,9,720.420087
17.05929,23,727.671715
22.522467,30,737.193927
7.686382,11,740.707335
14.011728,19,746.733624
11.601246,14,751.186844
9.319573,12,755.016873
22.336059,28,763.96747
22.26606,30,773.492891
22.491246,30,783.037358
4.842502,7,785.293137
9.395087,12,789.064959
2.19549,3,790.036374
3.955092,5,791.61812
5.855256,7,793.836287
1.600037,3,794.80456
23.040095,30,804.370563
7.392994,9,807.235086
12.219589,16,812.29264
5.160287,7,814.559279
0.966017,2,815.206694
22.560072,30,824.800258
25.27218,30,834.37446
8.188666,12,838.177277
2.403409,4,839.491213
6.860945,10,842.670658
20.932624,30,852.091386
15.757293,22,859.149204
1.600054,3,860.119538
8.503531,13,864.235121
21.414151,30,873.77666
21.093243,30,883.271206
14.151275,21,890.006047
23.119309,30,899.461341
23.20689,29,908.712467
6.245921,9,911.532737
10.151088,12,915.327556
2.563432,4,916.599742
21.220611,30,926.130283
1.764923,3,927.099015
5.599393,8,929.61894
5.179784,8,932.148908
1.795329,3,933.116012
7.612738,10,936.29948
11.579592,17,941.609455
7.702407,12,945.386929
12.905682,19,951.380712
15.709151,23,958.648137
2.568289,4,959.933395
19.625422,29,969.058465
2.399343,4,970.347329
6.255682,10,973.519834
5.539975,8,976.048926
5.400967,7,978.255644
5.185628,8,980.816381
10.962294,15,985.54747
8.730708,13,989.587496
11.903246,18,995.228909
22.201323,30,1004.723633
6.129659,9,1007.5902
6.183276,8,1010.122762
13.737632,19,1016.115656
25.136931,30,1025.700551
10.76567,14,1030.132792
21.168304,30,1039.670858
4.92626,7,1041.870667
23.62959,30,1051.472912
5.725765,7,1053.702416
5.766159,8,1056.214918
4.783302,6,1058.143683
13.62672,19,1064.113486
10.906984,16,1069.143278
7.643343,10,1072.309736
2.131782,4,1073.58481
21.69948,30,1083.042108
4.924546,6,1084.968584
8.558666,11,1088.454078
12.950782,19,1094.509701
14.578984,22,1101.407978
5.367542,7,1103.622278
0.928064,2,1104.275717
2.759509,4,1105.535458
20.886016,30,1115.082216
12.325947,16,1120.143071
3.728417,6,1122.049806
17.330372,22,1128.963969
5.337076,8,1131.512519
3.09216,5,1133.102394
13.483553,19,1139.101217
15.875184,22,1146.043891
8.456926,12,1149.840104
16.925074,21,1156.448059
26.351955,30,1165.841374
16.63293,24,1173.466022
4.359538,6,1175.40302
9.782753,12,1179.192549
19.995989,24,1186.861323
23.079818,30,1196.313953
22.088983,30,1205.835479
21.514283,30,1215.410325
2.301029,4,1216.691711
8.561822,12,1220.505405
11.08226,15,1225.270567
9.362456,11,1228.765501
8.555988,10,1231.947655
1.958373,3,1232.916882
1.795329,3,1233.894838
3.080801,5,1235.489084
6.850526,9,1238.354781
21.914466,30,1247.82415
14.79196,21,1254.444448
11.809696,15,1259.20995
10.419297,15,1263.953035
13.721698,21,1270.66944
23.787537,30,1280.118295
24.771343,30,1289.562733
2.401174,4,1290.831796
15.98804,20,1297.137081
7.595418,9,1300.743081
15.929387,19,1306.758014
9.133865,13,1310.885895
14.529309,19,1316.906439
1.600037,3,1317.878241
3.365345,5,1319.472267
18.610598,25,1327.432442
18.683592,26,1335.627571
21.794672,30,1345.029485
0.966017,2,1345.673891
2.919541,4,1346.943632
18.133325,27,1355.497177
2.399329,4,1356.764084
1.784043,3,1357.721982
21.17316,30,1367.128968
8.762552,11,1370.63853
22.687798,30,1380.171721
6.082974,8,1382.715741
21.255984,30,1392.245566
7.252905,10,1395.385363
9.926241,12,1399.212894
13.034163,19,1405.269453
3.050018,5,1406.861297
11.215398,15,1411.589628
3.957198,5,1413.190036
22.186213,30,1422.627931
1.919462,3,1423.589396
5.682856,8,1426.124934
19.819998,29,1435.12735
1.00409,2,1435.78337
0.920455,2,1436.448084
2.761346,4,1437.735629
10.131258,14,1442.178324
16.013223,22,1449.158449
6.362456,8,1451.67588
21.720285,30,1461.132473
15.375235,20,1467.466087
3.613913,6,1469.380595
4.816167,7,1471.610785
20.94456,30,1481.1177
2.792487,4,1482.390988
17.31138,25,1490.273147
3.051413,5,1491.879073
20.165049,29,1501.055793
6.778436,10,1504.20992
18.338728,23,1511.567715
8.524167,12,1515.335181
6.202123,8,1517.850244
9.940857,14,1522.288715
3.195362,4,1523.558308
7.354135,9,1526.429179
18.126807,26,1534.654987
6.480599,9,1537.503253
10.95138,12,1541.275403
10.977496,16,1546.324279
3.197879,5,1547.925752
13.832106,20,1554.258243
22.787756,30,1563.717112
8.486296,12,1567.538351
21.127435,30,1577.002165
3.199682,5,1578.589278
15.315607,22,1585.52182
1.602273,3,1586.598523
1.795329,3,1587.568933
3.733232,6,1589.470573
13.077152,15,1594.224928
21.248791,30,1603.668061
1.958373,3,1604.637073
22.831811,30,1614.173349
7.136322,11,1617.641655
24.77688,30,1627.155229
21.99576,30,1636.603778
21.906967,29,1645.739189
21.989866,30,1655.312179
3.202327,5,1656.905107
11.814774,16,1661.92808
22.740717,29,1671.13673
22.492429,30,1680.6075
21.737708,30,1690.034484
12.341694,18,1695.759185
22.25146,30,1705.269502
3.764827,6,1707.195323
2.599059,4,1708.483267
21.776458,30,1717.990361
23.187011,30,1727.480227
18.482076,26,1735.687359
18.751477,24,1743.393512
21.326081,30,1752.945816
21.02191,30,1762.417312
21.325295,30,1771.905972
21.534152,30,1781.283979
18.383827,25,1789.26939
21.212589,30,1798.679394
8.069347,12,1802.4674
2.727273,5,1804.064742
1.598207,3,1805.030012
12.163041,18,1810.706288
21.084097,30,1820.182498
20.690963,30,1829.675505
11.9499,16,1834.730974
5.683,8,1837.257489
3.20231,5,1838.879813
1.960209,3,1839.829358
21.333059,30,1849.251065
19.19298,27,1857.824959
11.529557,16,1862.903521
20.886023,30,1872.396022
18.327604,27,1881.005198
4.719201,7,1883.203297
22.13514,30,1892.678719
20.824867,30,1902.106017
21.330835,30,1911.651023
20.651378,30,1921.208842
15.837613,23,1928.48671
9.328288,13,1932.612561
21.145647,30,1942.101074
9.020603,13,1946.200277
23.348754,30,1956.492854
18.69906,28,1965.326972
20.328553,30,1974.852701
20.558147,27,1983.391772
21.919121,30,1992.933648
7.818198,12,1996.73299
6.399144,10,1999.90834
14.504922,21,2006.505396
1.767153,3,2007.458338
15.643156,23,2014.753701
21.673794,30,2024.194697
20.933211,30,2033.641689
2.648301,4,2034.916748
20.978354,30,2044.478795
20.983034,30,2053.97816
16.691569,22,2060.943968
7.558411,10,2064.111465
5.957163,7,2066.354976
21.401111,30,2075.852839
13.841017,21,2082.439183
3.057051,5,2084.046167
16.160142,20,2090.362924
21.528409,30,2099.820944
20.539857,30,2109.316881
5.202299,7,2111.540972
7.336342,11,2115.043546
3.794167,5,2116.623439
9.136472,12,2120.415223
20.943571,30,2129.917684
3.995323,6,2131.808701
3.794167,5,2133.420571
5.09109,8,2135.965718
9.979556,15,2140.688506
4.400991,6,2142.603648
3.648051,5,2144.181919
21.567895,30,2153.727367
4.793559,6,2155.652472
20.625219,30,2165.330975
21.092035,30,2174.840346
21.881883,30,2184.327198
13.001526,19,2190.403719
7.123772,9,2193.260481
17.884344,26,2201.516186
18.240366,26,2209.778221
20.744514,30,2219.290935
4.564897,6,2221.206526
22.877612,30,2230.71224
21.928316,30,2240.186387
16.351257,24,2247.779132
20.65698,30,2257.319005
8.403401,12,2261.092773
5.001596,7,2263.306017
8.100126,12,2267.094052
4.528425,7,2269.335992
21.401111,30,2278.789031
13.088163,18,2284.433534
20.625196,30,2293.910722
20.829698,30,2303.385125
21.201712,30,2312.834996
20.744533,30,2322.355576
16.057906,21,2328.972419
22.009116,30,2338.459236
20.573864,30,2347.928294
21.056909,30,2357.440073
4.361782,6,2359.33172
21.862766,30,2368.820977
5.329561,8,2371.377218
7.758304,9,2374.250582
20.858044,30,2383.842691
22.664878,30,2393.325021
14.747871,20,2399.636692
15.009884,18,2405.371099
21.402057,30,2414.897349
12.566396,15,2419.66377
20.796656,29,2428.95476
19.181272,26,2437.16913
21.756524,30,2446.770075
15.170868,20,2453.113635
17.455588,26,2461.350194
21.009085,30,2470.836068
7.21974,10,2474.007139
21.402924,30,2483.53528
21.326077,30,2493.05502
21.292152,30,2502.769059
20.939308,30,2512.140949
19.324609,26,2520.380127
1.198555,2,2521.04218
20.892949,30,2530.56644
11.504655,17,2535.965527
21.885191,30,2545.462932
21.832981,30,2554.979826
0.966017,2,2555.628293
14.838067,22,2562.609948
15.198669,18,2568.301184
23.63765,30,2577.801849
2.759509,4,2579.082049
11.26498,16,2584.149653
10.855746,16,2589.223794
21.410663,30,2599.522011
20.898798,30,2609.009985
20.540873,30,2618.628693
5.653392,9,2621.471331
15.019435,20,2627.816479
20.824037,30,2637.399841
5.659176,9,2640.266821
21.688178,30,2649.764339
21.802217,30,2659.200443
21.645327,30,2668.643121
13.896443,20,2674.92665
21.088819,30,2684.603939
21.680391,30,2694.12922
20.53988,30,2703.654833
20.653391,30,2713.062847
20.659198,30,2722.625547
11.400918,15,2727.333026
20.454545,30,2736.844098
1.600037,3,2737.809064
20.625219,30,2747.403563
22.039999,30,2756.952927
21.45521,30,2766.395906
22.399351,30,2775.839199
11.787472,17,2781.298513
20.772908,30,2790.79549
20.888816,30,2800.27105
21.24066,30,2809.806835
21.179879,30,2819.164703
16.264542,24,2826.798494
20.659198,30,2836.352865
1.795329,3,2837.309485
20.824235,30,2846.788588
6.566139,9,2849.619512
21.248819,27,2858.217107
2.92728,5,2859.834301
20.769485,30,2869.326759
10.03829,15,2874.092072
21.846363,30,2883.671539
21.181846,30,2893.27982
7.478906,10,2896.449094
11.458434,17,2901.85556
21.405846,30,2911.337774
22.431955,30,2920.907637
14.403517,22,2927.946689
15.864865,22,2934.940869
16.948701,24,2942.595135
20.784324,30,2951.987128
21.030633,30,2961.51416
3.200119,5,2963.115446
22.194472,30,2972.647121
20.943384,30,2982.058419
17.762883,26,2990.371774
20.690963,30,2999.771137
21.598277,30,3009.12673
20.887945,30,3018.602993
14.430598,21,3025.344611
20.571645,30,3034.89498
22.319215,30,3044.462307
21.701563,30,3053.941522
20.454545,30,3063.415383
11.912662,18,3069.118979
5.157803,7,3071.359433
7.380794,11,3074.854278
15.870592,23,3082.092149
20.626015,30,3091.550361
21.184522,30,3101.039309
20.847447,29,3110.178454
1.960209,3,3111.145599
3.275379,4,3112.445562
20.774451,30,3121.844984
20.745333,30,3131.351436
11.227255,17,3136.7236
4.978373,8,3139.264534
20.888816,30,3148.670168
21.089072,30,3158.260687
21.092417,30,3167.739691
12.092029,17,3173.183813
21.028765,30,3182.696492
8.496772,13,3186.827723
20.454545,30,3196.344056
21.724486,30,3205.89115
5.745503,9,3208.755102
20.771694,30,3218.16506
21.920641,30,3227.681396
21.741605,30,3237.192226
17.396529,25,3245.028032
20.454545,30,3255.20544
10.661544,16,3260.342804
21.214977,30,3269.795129
4.289789,7,3272.01256
20.771717,30,3281.466717
5.325481,8,3284.021991
21.176395,30,3293.458382
20.768276,30,3302.957105
20.738726,30,3312.501728
18.208513,26,3320.678052
22.163353,30,3330.217173
12.928646,17,3335.603494
21.56379,30,3345.183245
21.122639,30,3354.566315
20.659176,30,3364.123253
20.454545,30,3373.848885
2.284091,4,3375.129922
20.822842,30,3384.538791
20.770468,30,3394.108377
13.636364,21,3400.722501
9.955753,15,3405.447176
4.524153,7,3407.694327
21.115865,30,3417.162092
3.645509,6,3419.088742
12.12995,16,3424.156151
20.653391,30,3433.635851
20.888606,30,3443.096818
21.093452,30,3452.639981
4.955055,6,3454.552719
20.949195,30,3464.048174
21.085084,30,3473.762975
0.966017,2,3474.433233
21.365885,30,3483.863469
20.886238,30,3493.291681
21.443414,30,3502.747357
21.059492,30,3512.149289
20.625219,30,3521.701833
20.625221,30,3531.134806
20.53988,30,3540.656918
20.975152,30,3550.093921
20.651176,30,3559.539202
20.862602,30,3569.008844
17.600169,25,3576.909581
6.168219,9,3579.743665
20.886238,30,3589.247338
20.974144,30,3598.812037
20.53988,30,3608.18571
20.96475,30,3617.695969
21.759908,30,3627.141769
20.573864,30,3636.6609
21.120001,30,3646.202795
20.857051,30,3655.802681
20.974129,30,3665.338902
21.919791,30,3674.789198
20.980759,30,3684.279396
20.76831,30,3693.68372
20.946967,30,3703.040151
20.738703,30,3712.458729
21.164939,30,3721.932945
8.384253,13,3726.023937
20.770491,30,3735.505691
21.32521,30,3744.94586
21.167036,30,3754.452597
20.539881,30,3763.955795
21.322558,30,3773.419903
20.65698,30,3782.807
20.689116,30,3792.312587
4.574152,7,3794.525637
2.164773,4,3795.795676
21.289481,30,3805.243851
20.454545,30,3814.624652
9.450053,13,3818.764728
21.567184,30,3828.265017
7.585313,12,3832.044769
21.163624,30,3841.463879
1.997379,3,3842.429584
21.602605,30,3851.884694
20.852217,30,3861.283768
20.454545,30,3870.75653
21.794775,30,3880.257524
22.12339,30,3889.794988
20.539857,30,3900.057033
20.53988,30,3909.639482
20.65698,30,3919.10829
21.290262,30,3928.555417
20.454545,30,3937.96413
20.539857,30,3947.422959
20.943355,30,3956.824749
20.53988,30,3966.301795
20.631022,30,3975.833479
17.113691,25,3983.774101
20.653391,30,3993.171179
20.454545,30,4002.631811
20.715347,30,4012.066854
20.891169,30,4021.557593
20.573864,30,4031.031776
20.778517,30,4040.64684
20.454545,30,4050.095823
20.715389,30,4059.580354
12.870804,19,4065.499879
2.846591,5,4067.117791
20.53988,30,4076.600742
20.854603,30,4086.094846
20.659199,30,4095.636983
20.454545,30,4105.15973
20.710559,30,4114.59304
20.942277,30,4124.186552
20.53988,30,4133.736059
20.454545,30,4143.185736
20.53988,30,4152.714181
20.88863,30,4162.172934
21.480639,30,4171.607093
2.162554,4,4172.886836
20.53988,30,4182.434825
20.454545,30,4191.947061
21.081854,30,4201.364088
20.454545,30,4210.771263
20.573864,30,4220.24948
20.653391,30,4229.79833
20.539857,30,4239.240724
20.454545,30,4248.745598
20.657975,30,4258.195992
2.164773,4,4259.502123
20.890843,30,4268.929567
21.765854,30,4278.324136
8.863636,14,4282.769892
20.693182,30,4292.29325
20.539857,30,4301.809775
3.764827,6,4303.729168
20.892027,30,4313.113458
20.454545,30,4322.617266
20.454545,30,4332.079888
17.330627,26,4340.312235
20.653368,30,4349.811494
20.659198,30,4359.276676
21.345734,30,4368.712602
20.975131,30,4378.189244
20.53988,30,4387.679586
20.897835,30,4397.242812
20.766882,30,4406.644799
20.659198,30,4416.143755
20.545688,30,4425.56471
1.764923,3,4426.534513
20.545688,30,4436.061239
0.798918,2,4436.728624
20.626038,30,4446.253565
20.454545,30,4455.752573
20.743257,30,4465.294851
2.727273,5,4466.904593
20.454545,30,4476.41009
20.772709,30,4485.871897
20.53988,30,4495.342712
20.769488,30,4504.847535
20.769493,30,4514.408619
4.090909,7,4516.645695
3.560645,5,4518.250304
20.659198,30,4527.796155
21.064237,30,4537.225873
3.409091,6,4539.123109
20.454545,30,4549.35368
20.778686,30,4558.912841
20.539881,30,4568.399885
20.744533,30,4577.893651
20.653391,30,4587.388006
20.850025,30,4597.041061
20.571645,30,4606.433025
22.172227,30,4615.883542
10.344372,16,4620.917597
21.286593,30,4630.398726
20.454545,30,4639.826847
20.857052,30,4649.274459
20.539858,30,4658.819338
20.855825,30,4668.344847
20.625216,30,4677.76159
20.689116,30,4687.338849
20.659198,30,4696.697823
20.571645,30,4706.239258
20.776281,30,4715.706319
20.690946,30,4725.090309
22.554281,30,4734.508346
1.960209,3,4735.462773
20.857034,30,4744.974493
20.891035,30,4754.535094
20.53988,30,4764.202267
20.85979,30,4773.741359
20.539885,30,4783.222844
20.653391,30,4792.731354
20.539858,30,4802.232497
3.36719,5,4803.825068
20.454545,30,4813.259775
3.601111,5,4814.85839
20.454545,30,4824.300171
20.625244,30,4833.797148
20.653391,30,4843.320459
20.454545,30,4852.753915
20.53988,30,4862.208673
20.625215,30,4871.67205
20.744703,30,4881.26193
20.53988,30,4890.743877
20.769505,30,4900.177895
20.651176,30,4909.668787
21.204402,30,4919.061062
20.571645,30,4928.509749
21.124874,30,4937.979788
20.454545,30,4947.429765
20.454545,30,4956.986998
21.259609,30,4966.483251
20.625215,30,4976.084386
20.65698,30,4985.555666
20.858044,30,4995.128718
20.53988,30,5004.553233
21.010156,30,5013.958786
20.53988,30,5023.465182
20.573864,30,5032.906615
20.454545,30,5042.414489
21.173227,30,5051.847302
20.82486,30,5061.305266
20.454545,30,5070.735604
11.660345,17,5076.118256
21.963028,30,5085.611777
21.128428,30,5095.119212
20.73876,30,5104.593964
20.573864,30,5114.06665
20.768276,30,5123.578596
20.454545,30,5132.997643
20.454545,30,5142.560674
21.471716,30,5152.009312
20.454545,30,5161.511843
20.772681,30,5170.949323
20.975178,30,5180.45979
21.172055,30,5189.964525
20.454545,30,5200.18035
20.829732,30,5209.588325
20.454545,30,5219.08004
20.625239,30,5228.451649
20.742315,30,5237.963733
20.693182,30,5247.382799
20.454545,30,5256.920413
20.454545,30,5266.329658
20.891012,30,5275.74854
20.454545,30,5285.208184
20.53988,30,5294.692518
20.454545,30,5304.179664
20.454545,30,5313.714017
9.737258,14,5318.196119
20.693182,30,5327.662228
20.53988,30,5337.147604
20.454545,30,5346.549378
20.573864,30,5355.944867
20.974151,30,5365.463809
20.454545,30,5374.865408
20.964773,30,5384.407243
20.651174,30,5393.797035
6.136364,10,5396.998535
20.454545,30,5406.561667
20.53988,30,5416.051576
20.454545,30,5425.529318
20.53988,30,5435.029152
20.454545,30,5444.52789
20.53988,30,5454.103667
20.454545,30,5463.545499
20.53988,30,5472.997506
20.943403,30,5482.48914
20.630999,30,5492.086759
20.659176,30,5501.60374
20.573864,30,5511.202889
20.454545,30,5520.627925
21.849088,30,5530.093093
20.937589,30,5539.702701
21.014917,30,5549.284355
20.571645,30,5558.869536
20.888751,30,5568.363153
20.454545,30,5577.859911
20.53988,30,5587.302739
20.454545,30,5596.886622
20.454545,30,5606.286331
19.892045,30,5615.807025
20.690946,30,5625.345719
21.377062,30,5634.753648
4.090909,7,5636.965129
21.032706,30,5646.431092
20.571645,30,5655.901488
3.200046,5,5657.498658
20.539886,30,5667.016344
20.828881,30,5676.410528
20.454545,30,5685.930139
20.454545,30,5695.332069
20.454545,30,5704.791864
20.539862,30,5714.191304
20.573864,30,5723.763621
20.771717,30,5733.198387
20.855826,30,5742.641147
20.970568,30,5752.136399
20.53988,30,5761.617845
20.625215,30,5771.143942
20.53988,30,5780.709032
20.53988,30,5790.213265
20.53988,30,5799.712245
20.653391,30,5809.17482
20.53988,30,5818.591627
20.454545,30,5828.136478
20.653391,30,5837.641037
20.454545,30,5847.849393
20.573864,30,5857.341614
10.227273,16,5862.368353
20.573864,30,5871.853855
9.689035,14,5876.287082
20.625215,30,5885.734994
20.454545,30,5895.261882
20.454545,30,5904.751172
20.454545,30,5914.246431
20.571645,30,5923.723063
20.776276,30,5933.233345
20.53988,30,5942.824229
20.65698,30,5952.371278
20.454545,30,5961.97606
20.454545,30,5971.517621
20.625215,30,5981.040789
20.454545,30,5990.353574
20.454545,30,5999.72705
20.573864,30,6009.257703
4.210227,7,6011.505457
20.659198,30,6020.895378
20.653391,30,6030.423795
20.693182,30,6040.015652
20.53988,30,6049.431091
20.454545,30,6058.83119
20.53988,30,6068.323352
